                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.41636,                0.25569,                 1.0429,                0.98642,                0.94268,                0.98325,                 0.9118,                0.41714,                0.25527,                 1.0379,              0.0084952,              0.0084952,              0.0084952
                     79,                0.42278,                0.27012,                 1.0529,                0.96903,                 0.9636,                0.98767,                0.91924,                0.41922,                0.27171,                 1.0492,              0.0084754,              0.0084754,              0.0084754
                     80,                0.40564,                0.25424,                 1.0404,                0.98008,                0.95089,                0.98286,                0.91686,                0.41224,                0.25764,                 1.0176,              0.0084556,              0.0084556,              0.0084556
                     81,                0.42422,                 0.2601,                 1.0477,                0.97534,                0.94878,                0.98645,                0.91647,                0.41966,                 0.2533,                 1.0664,              0.0084358,              0.0084358,              0.0084358
                     82,                0.40695,                0.25378,                 1.0349,                  0.975,                0.94258,                0.98609,                0.92295,                0.40623,                0.25847,                 1.0279,               0.008416,               0.008416,               0.008416
                     83,                0.40969,                0.25076,                  1.037,                0.95846,                 0.9689,                0.98581,                0.91953,                0.39758,                0.25008,                 1.0241,              0.0083962,              0.0083962,              0.0083962
                     84,                0.41022,                0.25948,                  1.045,                0.97696,                0.95034,                0.98204,                0.90864,                 0.4653,                 0.3671,                 1.1536,              0.0083764,              0.0083764,              0.0083764
                     85,                0.40938,                0.25578,                  1.035,                 0.9766,                0.95197,                0.98251,                0.92338,                0.41626,                0.28284,                 1.0687,              0.0083566,              0.0083566,              0.0083566
                     86,                0.41082,                0.25949,                 1.0427,                0.97342,                0.94093,                0.97634,                0.91383,                0.41302,                0.29316,                  1.045,              0.0083368,              0.0083368,              0.0083368
                     87,                0.40018,                0.25441,                  1.032,                0.99198,                0.92372,                0.97794,                0.90591,                0.42855,                0.29518,                 1.0729,               0.008317,               0.008317,               0.008317
                     88,                0.41729,                0.26749,                 1.0438,                0.96139,                0.94579,                0.97905,                0.90575,                0.42672,                0.28321,                 1.0676,              0.0082972,              0.0082972,              0.0082972
                     89,                 0.4038,                0.25539,                 1.0368,                0.96512,                0.95508,                0.97712,                0.91009,                0.41149,                0.26989,                  1.046,              0.0082774,              0.0082774,              0.0082774
                     90,                0.41078,                 0.2531,                 1.0368,                0.98039,                0.95563,                0.97979,                0.90998,                0.42434,                0.26465,                 1.0598,              0.0082576,              0.0082576,              0.0082576
                     91,                0.40833,                0.25632,                 1.0456,                0.99019,                0.94378,                0.98207,                0.91506,                0.41341,                0.26946,                 1.0421,              0.0082378,              0.0082378,              0.0082378
                     92,                0.40333,                0.24803,                 1.0409,                0.98687,                0.95559,                0.98534,                0.91702,                0.41196,                0.27876,                 1.0293,               0.008218,               0.008218,               0.008218
                     93,                0.41502,                0.25411,                  1.051,                0.98702,                0.96079,                0.98766,                0.91874,                0.39959,                0.25906,                 1.0349,              0.0081982,              0.0081982,              0.0081982
                     94,                   0.41,                 0.2558,                 1.0392,                0.98108,                 0.9493,                0.98837,                0.91786,                0.39763,                0.25431,                 1.0068,              0.0081784,              0.0081784,              0.0081784
                     95,                0.40104,                0.24956,                 1.0398,                0.98202,                0.94796,                0.98442,                0.92164,                0.39475,                0.25528,                 1.0145,              0.0081586,              0.0081586,              0.0081586
                     96,                0.39826,                0.25275,                 1.0323,                0.97971,                0.93356,                0.98234,                0.91627,                0.40855,                0.26674,                 1.0284,              0.0081388,              0.0081388,              0.0081388
                     97,                0.40334,                0.25232,                 1.0338,                0.98801,                 0.9458,                0.98299,                0.91167,                0.42739,                 0.2909,                 1.0772,               0.008119,               0.008119,               0.008119
                     98,                 0.4084,                0.25186,                  1.039,                0.97426,                0.94468,                0.97889,                0.90923,                  0.437,                0.29277,                 1.0825,              0.0080992,              0.0080992,              0.0080992
                     99,                0.39867,                0.25104,                 1.0378,                 0.9776,                0.93746,                0.97493,                 0.9117,                0.41495,                0.28372,                 1.0464,              0.0080794,              0.0080794,              0.0080794
                    100,                0.39931,                0.24865,                 1.0349,                0.98957,                0.94797,                0.98104,                0.91591,                0.43001,                 0.2739,                 1.0716,              0.0080596,              0.0080596,              0.0080596
                    101,                0.39332,                0.24409,                 1.0326,                0.99309,                0.93433,                0.98074,                0.91247,                0.42544,                0.27685,                 1.0558,              0.0080398,              0.0080398,              0.0080398
                    102,                0.39517,                0.24609,                 1.0371,                0.99032,                0.94633,                0.98111,                0.90631,                0.42152,                0.28354,                 1.0664,                0.00802,                0.00802,                0.00802
                    103,                0.40478,                0.24997,                 1.0377,                0.99029,                0.93709,                0.97965,                0.90469,                 0.4329,                0.29036,                 1.0774,              0.0080002,              0.0080002,              0.0080002
                    104,                0.39853,                0.24522,                 1.0372,                0.97604,                0.94444,                0.98672,                0.92211,                0.41576,                0.28313,                 1.0526,              0.0079804,              0.0079804,              0.0079804
                    105,                0.40104,                0.25162,                 1.0301,                0.97607,                0.95178,                0.98506,                0.91744,                0.43651,                0.27601,                 1.0763,              0.0079606,              0.0079606,              0.0079606
                    106,                0.40606,                0.24953,                 1.0417,                0.97031,                0.95119,                0.98467,                0.90527,                0.46402,                 0.3166,                 1.1224,              0.0079408,              0.0079408,              0.0079408
                    107,                0.39598,                0.24934,                 1.0365,                0.97649,                0.94156,                0.98099,                0.90832,                0.43787,                0.29184,                 1.0852,               0.007921,               0.007921,               0.007921
                    108,                0.40326,                0.25426,                 1.0352,                0.98055,                 0.9345,                0.98209,                0.91554,                0.40493,                0.27432,                  1.034,              0.0079012,              0.0079012,              0.0079012
                    109,                0.39352,                0.24308,                 1.0313,                0.95028,                0.96966,                0.98219,                0.91859,                 0.4186,                0.28021,                 1.0433,              0.0078814,              0.0078814,              0.0078814
                    110,                0.39635,                0.23911,                 1.0322,                0.97814,                0.94579,                0.98029,                0.91679,                0.41307,                0.26106,                 1.0372,              0.0078616,              0.0078616,              0.0078616
