                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.48195,                0.31987,                 1.0798,                0.97394,                0.91452,                0.97311,                0.87617,                0.45704,                0.31638,                 1.0728,              0.0088516,              0.0088516,              0.0088516
                     61,                0.48391,                0.32579,                 1.0871,                0.98694,                0.89211,                0.96139,                 0.8661,                0.48525,                0.32471,                 1.1028,              0.0088318,              0.0088318,              0.0088318
                     62,                0.48699,                0.33633,                 1.0882,                0.97876,                0.91638,                0.97781,                0.87379,                0.48533,                0.32962,                 1.0957,               0.008812,               0.008812,               0.008812
                     63,                0.49019,                0.32875,                  1.088,                0.95072,                0.92998,                0.96551,                0.87987,                0.47847,                0.32734,                 1.0984,              0.0087922,              0.0087922,              0.0087922
                     64,                0.48069,                0.32009,                 1.0692,                0.97402,                0.92971,                0.97334,                 0.8778,                0.48588,                0.35053,                 1.1233,              0.0087724,              0.0087724,              0.0087724
                     65,                0.48782,                0.32088,                 1.0878,                0.95299,                0.93046,                0.95959,                0.87265,                0.45549,                0.33362,                 1.0778,              0.0087526,              0.0087526,              0.0087526
                     66,                 0.4872,                0.32208,                 1.0894,                 0.9806,                0.89614,                0.96295,                0.85994,                0.49418,                0.36324,                 1.1348,              0.0087328,              0.0087328,              0.0087328
                     67,                0.47528,                0.31666,                 1.0787,                0.94321,                0.91116,                0.97063,                0.87973,                0.47287,                0.35654,                  1.095,               0.008713,               0.008713,               0.008713
                     68,                0.46907,                0.31741,                   1.08,                0.97443,                0.92378,                0.97166,                0.88604,                0.46948,                0.33178,                 1.0714,              0.0086932,              0.0086932,              0.0086932
                     69,                0.48584,                0.32629,                 1.0801,                0.96693,                0.91624,                0.96858,                0.88064,                0.45997,                0.34242,                 1.0799,              0.0086734,              0.0086734,              0.0086734
                     70,                0.47813,                0.31531,                   1.08,                0.95176,                0.90404,                0.96089,                0.87346,                0.46771,                0.34296,                 1.0837,              0.0086536,              0.0086536,              0.0086536
                     71,                0.47448,                0.31023,                   1.08,                0.94703,                0.92466,                0.96374,                0.87484,                0.46165,                0.33659,                 1.0718,              0.0086338,              0.0086338,              0.0086338
                     72,                0.47953,                0.31773,                 1.0792,                0.97489,                0.90355,                 0.9655,                 0.8677,                0.49348,                0.34543,                 1.0912,               0.008614,               0.008614,               0.008614
